date,open,high,low,close,month,ret,ret5,sma20,sma50,fast,slow,prior,mom1,gate_pick,gate_forecast,GVZ,gvz_q90_252,gvz_stress,mtd_peak,mtd_trough,mtd_dd,mtd_up,price_emg_down,price_emg_up,macro_score,macro_series,event_down,bocpd_alarm_month,pos,action,reason,evidence,turn,strat_ret,equity,bh_ret,bh_equity
2026-04-28,4684.47,4701.59,4682.35,4689.24,2026-04,0.001978640934362952,-0.012300848421531674,4741.4925,4859.396,-1,0,1,-1,momentum,5060.83558668,26.19,34.947,False,4867.57,4649.68,-0.03663635037606028,0.008508112386228728,False,False,0,,False,True,1,TUT,HOLD,TACTICAL_EARLY_REVERSAL,0.0,0.001978640934362952,1.0930403687121384,0.001978640934362952,1.0858869707179812
2026-04-29,4598.59,4600.37,4587.91,4600.27,2026-04,-0.01897322380598976,-0.030573087338131022,4738.0915,4853.84,-1,0,1,-1,momentum,5060.83558668,27.77,34.947,False,4867.57,4600.27,-0.05491446450693038,0.0,False,False,0,,False,True,1,TUT,HOLD,TACTICAL_EARLY_REVERSAL,0.0,-0.01897322380598976,1.0723018691675814,-0.01897322380598976,1.0652841941945408
2026-04-30,4542.89,4568.63,4539.23,4566.37,2026-04,-0.0073691326813427604,-0.03418365944090407,4728.569,4845.6412,-1,0,1,-1,momentum,5060.83558668,26.64,34.947,False,4867.57,4566.37,-0.06187892521319671,0.0,False,False,-1,PCEPILFE,True,True,0,SAT,MACRO_EVENT_DOWN,MACRO_EVENT_REVERSAL_DOWN,1.0,-0.008369132681342761,1.063327632550066,-0.0073691326813427604,1.057433973624184
2026-05-01,4627.97,4634.18,4623.29,4624.95,2026-05,0.012828570615171397,-0.0156329814404903,4726.0470000000005,4838.215999999999,-1,0,-1,-1,momentum,4714.24120498,26.43,34.947,False,4624.95,4624.95,0.0,0.0,False,False,0,,False,False,0,TUT,HOLD,MIXED_NEUTRAL,0.0,0.0,1.063327632550066,0.012828570615171397,1.0709993400257032
2026-05-04,4625.46,4629.28,4609.25,4609.26,2026-05,-0.003392469107774021,-0.01511117568878484,4724.026,4828.243,-1,-1,-1,-1,momentum,4714.24120498,27.92,34.947,False,4624.95,4609.26,-0.003392469107774021,0.0,False,False,0,,False,False,0,TUT,HOLD,ANCHOR_CONFIRMED,0.0,-0.0,1.063327632550066,-0.003392469107774021,1.0673660078502196
2026-05-05,4522.68,4586.77,4513.45,4556.2,2026-05,-0.011511609238793352,-0.028371335227030392,4716.52,4814.8114,-1,-1,-1,-1,momentum,4714.24120498,26.61,34.947,False,4624.95,4556.2,-0.01486502556784397,0.0,False,False,0,,False,False,0,TUT,HOLD,ANCHOR_CONFIRMED,0.0,-0.0,1.063327632550066,-0.011511609238793352,1.055078907453077
2026-05-06,4557.76,4626.22,4546.04,4625.07,2026-05,0.015115666564242014,0.005390987920274037,4711.7919999999995,4804.4128,-1,-1,-1,-1,momentum,4714.24120498,26.34,34.947,False,4625.07,4556.2,0.0,0.015115666564242014,False,False,0,,False,False,0,TUT,HOLD,ANCHOR_CONFIRMED,0.0,0.0,1.063327632550066,0.015115666564242014,1.0710271284171025
2026-05-07,4695.95,4700.67,4689.28,4700.17,2026-05,0.016237592079687557,0.029301173579889594,4708.549999999999,4795.037200000001,-1,-1,-1,-1,momentum,4714.24120498,27.03,34.947,False,4700.17,4556.2,0.0,0.0315987006716123,False,False,0,,False,False,0,TUT,HOLD,ANCHOR_CONFIRMED,0.0,0.0,1.063327632550066,0.016237592079687557,1.0884180300346185
2026-05-08,4679.47,4749.38,4679.1,4715.44,2026-05,0.003248818659750574,0.019565616925588447,4706.862999999999,4785.6536,0,-1,-1,-1,momentum,4714.24120498,26.48,34.947,False,4715.44,4556.2,0.0,0.03495017777972875,False,False,0,,False,False,0,TUT,HOLD,MIXED_NEUTRAL,0.0,0.0,1.063327632550066,0.003248818659750574,1.0919541028402038
2026-05-11,4693.85,4700.53,4679.01,4685.73,2026-05,-0.006300578525015754,0.01659051561421987,4704.1065,4773.7636,0,-1,-1,-1,momentum,4714.24120498,27.48,34.947,False,4715.44,4556.2,-0.006300578525015754,0.028429392915148455,False,False,0,,False,False,0,TUT,HOLD,MIXED_NEUTRAL,0.0,-0.0,1.063327632550066,-0.006300578525015754,1.085074160269546
