date,open,high,low,close,month,ret,sma20,fast_raw,fast,slow,prior,pos,turn,strat_ret,equity
2023-08-07,1941.83,1946.67,1931.47,1936.35,2023-08,-0.0032429928190874646,1954.878,-1.0,-1,0,-1,0,0.0,-0.0,1.0651133857231374
2023-08-08,1935.93,1938.0,1922.72,1924.91,2023-08,-0.005908022826451753,1954.5259999999998,-1.0,-1,0,-1,0,0.0,-0.0,1.0651133857231374
2023-08-09,1924.54,1932.32,1913.99,1914.13,2023-08,-0.005600261830423281,1952.3815,-1.0,-1,0,-1,0,0.0,-0.0,1.0651133857231374
2023-08-10,1914.73,1930.04,1912.08,1912.49,2023-08,-0.0008567861117061426,1949.9940000000001,-1.0,-1,0,-1,0,0.0,-0.0,1.0651133857231374
2023-08-11,1912.44,1920.91,1910.74,1913.56,2023-08,0.0005594800495689611,1947.9099999999999,-1.0,-1,0,-1,0,0.0,0.0,1.0651133857231374
2023-08-14,1912.23,1916.18,1902.68,1907.06,2023-08,-0.0033968101339910683,1945.5189999999998,-1.0,-1,-1,-1,0,0.0,-0.0,1.0651133857231374
2023-08-15,1907.1,1911.54,1896.1,1901.71,2023-08,-0.0028053653267332557,1941.676,-1.0,-1,-1,-1,0,0.0,-0.0,1.0651133857231374
2023-08-16,1901.15,1907.14,1891.34,1891.46,2023-08,-0.00538988594475498,1937.4195000000004,-1.0,-1,-1,-1,0,0.0,-0.0,1.0651133857231374
2023-08-17,1891.71,1903.38,1884.93,1889.26,2023-08,-0.0011631226671460215,1933.4149999999997,-1.0,-1,-1,-1,0,0.0,-0.0,1.0651133857231374
2023-08-18,1889.05,1896.72,1886.75,1889.25,2023-08,-5.293077712908989e-06,1929.791,-1.0,-1,-1,-1,0,0.0,-0.0,1.0651133857231374
2023-08-21,1888.79,1898.7,1884.83,1894.83,2023-08,0.0029535529972211094,1926.807,-1.0,-1,-1,-1,0,0.0,0.0,1.0651133857231374
2023-08-22,1894.35,1904.46,1889.08,1897.37,2023-08,0.0013404896481479245,1923.4405000000002,-1.0,-1,-1,-1,0,0.0,0.0,1.0651133857231374
2023-08-23,1897.24,1920.29,1897.18,1915.21,2023-08,0.009402488708053935,1920.623,-1.0,-1,-1,-1,0,0.0,0.0,1.0651133857231374
2023-08-24,1915.17,1923.3,1911.75,1916.64,2023-08,0.0007466544138763354,1919.1834999999999,-1.0,-1,-1,-1,0,0.0,0.0,1.0651133857231374
2023-08-25,1916.75,1922.3,1903.74,1914.45,2023-08,-0.001142624593037822,1916.9489999999998,-1.0,-1,-1,-1,0,0.0,-0.0,1.0651133857231374
2023-08-28,1914.94,1926.0,1912.75,1920.13,2023-08,0.002966909556269437,1914.7010000000002,1.0,0,-1,-1,0,0.0,0.0,1.0651133857231374
2023-08-29,1919.54,1938.13,1914.39,1937.37,2023-08,0.008978558743418352,1914.359,1.0,1,-1,-1,0,0.0,0.0,1.0651133857231374
2023-08-30,1937.31,1949.08,1934.95,1942.31,2023-08,0.0025498485059642917,1914.7485000000001,1.0,1,-1,-1,0,0.0,0.0,1.0651133857231374
2023-08-31,1942.28,1947.82,1938.94,1940.05,2023-08,-0.0011635629739845665,1915.0595,1.0,1,-1,-1,0,0.0,-0.0,1.0651133857231374
2023-09-01,1939.86,1952.86,1934.43,1940.11,2023-09,3.0927037962813486e-05,1914.9325000000001,1.0,1,-1,-1,0,0.0,0.0,1.0651133857231374
2023-09-04,1940.11,1946.36,1936.79,1938.34,2023-09,-0.0009123194045698169,1915.0320000000004,1.0,1,0,-1,0,0.0,-0.0,1.0651133857231374
2023-09-05,1938.3,1938.97,1925.29,1925.78,2023-09,-0.006479771350743402,1915.0755000000001,1.0,1,0,-1,0,0.0,-0.0,1.0651133857231374
2023-09-06,1925.8,1929.2,1915.26,1916.37,2023-09,-0.004886331772061214,1915.1875,1.0,1,0,-1,0,0.0,-0.0,1.0651133857231374
2023-09-07,1916.4,1923.58,1916.17,1919.54,2023-09,0.001654169080083756,1915.5399999999997,1.0,1,0,-1,0,0.0,0.0,1.0651133857231374
2023-09-08,1919.26,1929.71,1917.31,1918.91,2023-09,-0.0003282036321201609,1915.8075000000001,1.0,1,0,-1,0,0.0,-0.0,1.0651133857231374
2023-09-11,1919.67,1930.58,1916.68,1922.2,2023-09,0.001714515011126183,1916.5645,1.0,1,1,-1,0,0.0,0.0,1.0651133857231374
2023-09-12,1922.59,1924.44,1907.53,1913.4,2023-09,-0.0045780876079491994,1917.1490000000001,-1.0,0,1,-1,0,0.0,-0.0,1.0651133857231374
2023-09-13,1912.66,1915.74,1905.56,1908.01,2023-09,-0.002816975018292145,1917.9765,-1.0,-1,1,-1,0,0.0,-0.0,1.0651133857231374
2023-09-14,1908.49,1912.84,1900.96,1910.53,2023-09,0.0013207477948229407,1919.0400000000002,-1.0,-1,1,-1,0,0.0,0.0,1.0651133857231374
2023-09-15,1910.64,1930.43,1909.75,1923.55,2023-09,0.006814862891449058,1920.7549999999999,1.0,0,1,-1,0,0.0,0.0,1.0651133857231374
2023-09-18,1923.71,1934.2,1922.46,1933.67,2023-09,0.005261105767981222,1922.6970000000001,1.0,1,0,-1,0,0.0,0.0,1.0651133857231374
2023-09-19,1933.29,1937.38,1929.7,1931.11,2023-09,-0.0013239073885410457,1924.384,1.0,1,0,-1,0,0.0,-0.0,1.0651133857231374
2023-09-20,1931.53,1947.4,1927.86,1930.13,2023-09,-0.0005074801539010076,1925.1299999999999,1.0,1,0,-1,0,0.0,-0.0,1.0651133857231374
2023-09-21,1930.65,1931.55,1913.88,1919.78,2023-09,-0.00536233310709644,1925.2869999999998,-1.0,0,0,-1,0,0.0,-0.0,1.0651133857231374
2023-09-22,1919.69,1929.01,1919.39,1925.21,2023-09,0.002828449093125185,1925.825,-1.0,-1,0,-1,0,0.0,0.0,1.0651133857231374
2023-09-25,1924.5,1927.22,1914.7,1915.08,2023-09,-0.005261763651757567,1925.5724999999998,-1.0,-1,-1,-1,0,0.0,-0.0,1.0651133857231374
2023-09-26,1915.6,1916.77,1899.14,1900.25,2023-09,-0.007743801825511154,1923.7165,-1.0,-1,-1,-1,0,0.0,-0.0,1.0651133857231374
2023-09-27,1900.08,1904.09,1872.52,1874.64,2023-09,-0.013477174056045205,1920.3329999999999,-1.0,-1,-1,-1,0,0.0,-0.0,1.0651133857231374
2023-09-28,1875.61,1879.61,1857.63,1864.14,2023-09,-0.005601075406478029,1916.5375,-1.0,-1,-1,-1,0,0.0,-0.0,1.0651133857231374
2023-09-29,1864.86,1879.81,1846.3,1848.37,2023-09,-0.008459665046616771,1911.9505000000001,-1.0,-1,-1,-1,0,0.0,-0.0,1.0651133857231374
2023-10-02,1847.66,1848.86,1827.14,1827.61,2023-10,-0.011231517499202037,1906.414,-1.0,-1,-1,-1,0,0.0,-0.0,1.0651133857231374
2023-10-03,1828.36,1833.32,1815.17,1822.59,2023-10,-0.0027467566931675957,1901.2544999999998,-1.0,-1,-1,-1,0,0.0,-0.0,1.0651133857231374
