target,origin,actual_dir,dir3,flat,real10,usd,ry1,ry3,usd1,usd3,alarm_frozen,pred_frozen
2017-11-01,2017-10-01,1.0,1.0,False,0.5,111.8052,0.010000000000000009,0.020000000000000018,0.01561042342081298,0.01809817543073655,True,-1.0
2017-12-01,2017-11-01,-1.0,-1.0,False,0.56,110.4648,0.06000000000000005,0.20000000000000007,-0.011988708933037162,0.010022986487895125,False,-1.0
2018-01-01,2017-12-01,1.0,-1.0,False,0.44,110.0783,-0.12000000000000005,-0.04999999999999999,-0.00349885212302925,-7.630349533593872e-05,False,-1.0
2018-02-01,2018-01-01,0.0,1.0,True,0.61,106.7696,0.16999999999999998,0.10999999999999999,-0.030057695295076292,-0.04503905006207232,True,-1.0
2018-03-01,2018-02-01,-1.0,1.0,False,0.75,108.3903,0.14,0.18999999999999995,0.015179414365137589,-0.018779737979881417,True,-1.0
2018-04-01,2018-03-01,1.0,1.0,False,0.69,107.4784,-0.06000000000000005,0.24999999999999994,-0.008413114457659021,-0.02361864236638833,False,1.0
2018-05-01,2018-04-01,-1.0,1.0,False,0.78,109.3363,0.09000000000000008,0.17000000000000004,0.017286264030726084,0.024039614272227228,True,-1.0
2018-06-01,2018-05-01,-1.0,-1.0,False,0.76,111.9894,-0.020000000000000018,0.010000000000000009,0.024265500112954363,0.03320500081649369,False,-1.0
2018-07-01,2018-06-01,-1.0,-1.0,False,0.74,113.2586,-0.020000000000000018,0.050000000000000044,0.011333215465034963,0.05378010837526426,False,-1.0
2018-08-01,2018-07-01,-1.0,-1.0,False,0.84,112.7299,0.09999999999999998,0.05999999999999994,-0.004668078185674163,0.03103818219566601,False,-1.0
2018-09-01,2018-08-01,-1.0,-1.0,False,0.78,114.2755,-0.05999999999999994,0.020000000000000018,0.013710648195376596,0.020413539138525616,False,-1.0
2018-10-01,2018-09-01,1.0,-1.0,False,0.91,113.8077,0.13,0.17000000000000004,-0.004093615866918032,0.004848196958111783,False,-1.0
2018-11-01,2018-10-01,1.0,-1.0,False,1.1,116.5281,0.19000000000000006,0.2600000000000001,0.023903479290065643,0.03369292441490668,False,-1.0
2018-12-01,2018-11-01,1.0,1.0,False,1.04,116.413,-0.06000000000000005,0.26,-0.0009877445869279633,0.01870479674120884,False,1.0
2019-01-01,2018-12-01,1.0,1.0,False,0.98,115.5674,-0.06000000000000005,0.06999999999999995,-0.007263793562574561,0.015462046944099583,False,1.0
2019-02-01,2019-01-01,1.0,1.0,False,0.78,113.5504,-0.19999999999999996,-0.32000000000000006,-0.017453018757885075,-0.025553493105954672,False,1.0
2019-03-01,2019-02-01,-1.0,1.0,False,0.78,114.1991,0.0,-0.26,0.005712881680733917,-0.019017635487445506,True,-1.0
2019-04-01,2019-03-01,-1.0,1.0,False,0.53,115.1371,-0.25,-0.44999999999999996,0.008213724976816827,-0.003723368354743628,True,-1.0
2019-05-01,2019-04-01,-1.0,-1.0,False,0.56,115.3281,0.030000000000000027,-0.21999999999999997,0.0016588918775963801,0.015655603150671604,False,-1.0
2019-06-01,2019-05-01,1.0,-1.0,False,0.4,116.7273,-0.16000000000000003,-0.38,0.012132342421317999,0.022138528237087618,False,-1.0
2019-07-01,2019-06-01,1.0,1.0,False,0.31,114.5821,-0.09000000000000002,-0.22000000000000003,-0.018377877326041125,-0.0048203402725968125,False,1.0
2019-08-01,2019-07-01,1.0,1.0,False,0.26,115.4946,-0.04999999999999999,-0.30000000000000004,0.00796372208224505,0.0014437071277511038,True,-1.0
2019-09-01,2019-08-01,1.0,1.0,False,-0.05,118.1575,-0.31,-0.45,0.02305648922114112,0.012252489349106943,True,-1.0
2019-10-01,2019-09-01,-1.0,1.0,False,0.15,117.9461,0.2,-0.16,-0.0017891373801917076,0.029358861462654318,True,-1.0
