origin_index,origin_date,target_date,y,p_cal,p_raw,p_50,p_frequency,p_fast_only,p_static_logistic,p_equal_candidates,config_id,ridge_lambda,state_discount,dma_alpha,calibration_n,calibration_intercept,calibration_slope,direction,candidate_weights
157,2025-11-06,2025-11-07,1,0.5916403111100562,0.5190469103402351,0.5,0.5791139240506329,0.5951997921394618,0.5977783150622991,0.5194231448387466,L4_D0.97_A1,4.0,0.97,1.0,97,0.38756143999686543,-0.22054513926023298,UNCERTAIN,"[0.38728318640002124,0.3044528489936634,0.30826396460631533]"
158,2025-11-07,2025-11-10,1,0.5898923193276291,0.5559977597804416,0.5,0.5817610062893082,0.6037121466760629,0.6346073277190087,0.5568676447371246,L4_D0.97_A1,4.0,0.97,1.0,98,0.4293162251215468,-0.2925115068512006,UNCERTAIN,"[0.3840950542643936,0.306038709741378,0.3098662359942285]"
159,2025-11-10,2025-11-11,1,0.5601920711500477,0.6007436300221659,0.5,0.584375,0.5665598704394509,0.619666571176633,0.6004546264242193,L4_D0.99_A0.95,4.0,0.99,0.95,99,0.6753808787841795,-1.0608832749444723,UNCERTAIN,"[0.32789375807131227,0.3369150008589576,0.3351912410697301]"
160,2025-11-11,2025-11-12,1,0.5079088248217979,0.6550731305374665,0.5,0.5869565217391305,0.5791505055608721,0.6568496756895219,0.6532491209644024,L4_D0.99_A0.95,4.0,0.99,0.95,100,0.676051483514315,-1.0046757417856185,UNCERTAIN,"[0.30966713345017427,0.3462095815128986,0.3441232850369271]"
161,2025-11-12,2025-11-13,0,0.5132340499290051,0.6736508649303103,0.5,0.5895061728395061,0.5827131664941755,0.6755001778513483,0.6693988074925307,L4_D0.99_A0.95,4.0,0.99,0.95,101,0.6306589902230915,-0.7971232135786347,UNCERTAIN,"[0.2868623737162639,0.3577764151212814,0.35536121116245484]"
162,2025-11-13,2025-11-14,0,0.5268630772862815,0.6352646528118477,0.5,0.5858895705521472,0.5778215078224337,0.6403826968302326,0.6358433821477597,L4_D0.99_A0.95,4.0,0.99,0.95,102,0.6917184680278746,-1.0527924304874725,UNCERTAIN,"[0.34366125554551685,0.32889235338423994,0.32744639107024315]"
163,2025-11-14,2025-11-16,0,0.5613476606898826,0.5967270060487065,0.5,0.5823170731707317,0.5730101534445677,0.584818899550109,0.5979485756967696,L4_D0.99_A1,4.0,0.99,1.0,103,0.7200375323716673,-1.2081385791338735,UNCERTAIN,"[0.42143114890084504,0.28538020485759774,0.2931886462415573]"
164,2025-11-16,2025-11-17,0,0.5798913469845193,0.5771635014713383,0.5,0.5787878787878787,0.5682772470581489,0.5550867761958418,0.5768178118860138,L4_D0.99_A1,4.0,0.99,1.0,104,0.7126977969142462,-1.2546454979248112,UNCERTAIN,"[0.4297864631089427,0.2809292562023772,0.2892842806886802]"
165,2025-11-17,2025-11-18,1,0.5779327182422899,0.5742320133333627,0.5,0.5753012048192772,0.5636209820717002,0.5718307882998632,0.574942134875177,L4_D0.99_A1,4.0,0.99,1.0,105,0.6869154841466015,-1.245651090281399,UNCERTAIN,"[0.4276819103496727,0.281652493495182,0.2906655961551453]"
166,2025-11-18,2025-11-19,1,0.5687342599803324,0.5847653667645092,0.5,0.5778443113772455,0.5671675385246482,0.5794618154175616,0.5860310738702524,L4_D0.99_A1,4.0,0.99,1.0,106,0.7074668967859936,-1.2582349940277744,UNCERTAIN,"[0.4244969909839746,0.28346493265876305,0.29203807635726237]"
