"k","target_week","origin_week","k_star","p_up","forecast_up","actual_up","previous_up","final_order","final_context","final_leaves"
104,"2024-06-24","2024-06-17",0.4,0.5,1,1,0,8,36,18
104,"2024-07-01","2024-06-24",0.4,1,1,1,1,8,36,18
104,"2024-07-08","2024-07-01",0.4,0,0,1,1,8,36,18
104,"2024-07-15","2024-07-08",0.4,0.5,1,0,1,8,36,18
104,"2024-07-22","2024-07-15",0.4,0.4,0,0,0,8,36,19
104,"2024-07-29","2024-07-22",0.4,0,0,1,0,8,35,18
104,"2024-08-05","2024-07-29",0.4,0.666666666666667,1,0,1,8,33,17
104,"2024-08-12","2024-08-05",0.4,0.6,1,1,0,8,33,19
104,"2024-08-19","2024-08-12",0.4,1,1,1,1,8,34,19
104,"2024-08-26","2024-08-19",0.4,0.333333333333333,0,0,1,8,34,19
104,"2024-09-02","2024-08-26",0.4,1,1,0,0,8,36,20
104,"2024-09-09","2024-09-02",0.4,1,1,1,0,8,38,19
104,"2024-09-16","2024-09-09",0.4,0.5,1,1,1,8,37,19
104,"2024-09-23","2024-09-16",0.4,0.5,1,1,1,8,38,19
104,"2024-09-30","2024-09-23",0.4,0.375,0,0,1,8,41,20
104,"2024-10-07","2024-09-30",0.4,0.4,0,1,0,8,38,20
104,"2024-10-14","2024-10-07",0.4,1,1,1,1,8,40,21
104,"2024-10-21","2024-10-14",0.4,1,1,1,1,8,40,21
104,"2024-10-28","2024-10-21",0.4,0.333333333333333,0,0,1,8,39,22
104,"2024-11-04","2024-10-28",0.4,0.333333333333333,0,0,0,8,39,21
104,"2024-11-11","2024-11-04",0.4,0.4,0,0,0,9,42,23
104,"2024-11-18","2024-11-11",0.4,0,0,1,0,9,45,22
104,"2024-11-25","2024-11-18",0.4,0.5,1,0,1,9,44,21
104,"2024-12-02","2024-11-25",0.4,0.6,1,0,0,9,44,20
104,"2024-12-09","2024-12-02",0.4,1,1,1,0,9,44,20
104,"2024-12-16","2024-12-09",0.4,1,1,0,1,9,44,19
104,"2024-12-23","2024-12-16",0.4,0.5,1,0,0,9,41,17
104,"2024-12-30","2024-12-23",0.4,1,1,1,0,9,41,17
