loss_type,eta,alpha,n,accuracy,balanced_accuracy,brier,log_loss,actual_up,actual_down,forecast_up,forecast_down,up_sensitivity,down_sensitivity,tp,tn,fp,fn,always_up_accuracy,mean_p_up,min_p_up,max_p_up
ZERO_ONE,0.25,0.0,43,0.5581395348837209,0.5767543859649122,0.2949932000895069,2.5536070466546232,24,19,15,28,0.4166666666666667,0.7368421052631579,10,14,5,14,0.5581395348837209,0.4197430219765008,0.0,1.0
BRIER,2.0,0.1,43,0.5581395348837209,0.5767543859649122,0.3015725539505708,2.577296837517209,24,19,15,28,0.4166666666666667,0.7368421052631579,10,14,5,14,0.5581395348837209,0.4201176338789491,0.0,1.0000000000000002
BRIER,4.0,0.2,43,0.5581395348837209,0.5767543859649122,0.3031717737801035,2.5882042626889854,24,19,15,28,0.4166666666666667,0.7368421052631579,10,14,5,14,0.5581395348837209,0.42101489590553853,0.0,1.0
ZERO_ONE,4.0,0.02,43,0.5581395348837209,0.5767543859649122,0.3056834796620845,2.7296632366079345,24,19,15,28,0.4166666666666667,0.7368421052631579,10,14,5,14,0.5581395348837209,0.4298794091966787,0.0,1.0
ZERO_ONE,4.0,0.1,43,0.5581395348837209,0.5767543859649122,0.30799186645692694,2.646545858744568,24,19,15,28,0.4166666666666667,0.7368421052631579,10,14,5,14,0.5581395348837209,0.42586374031127744,0.0,0.9999999999999999
ZERO_ONE,4.0,0.05,43,0.5581395348837209,0.5767543859649122,0.30908484391996277,2.6831826584109284,24,19,15,28,0.4166666666666667,0.7368421052631579,10,14,5,14,0.5581395348837209,0.42658346094137656,0.0,0.9999999999999999
BRIER,4.0,0.1,43,0.5581395348837209,0.5767543859649122,0.31063354034337515,2.61881772682205,24,19,15,28,0.4166666666666667,0.7368421052631579,10,14,5,14,0.5581395348837209,0.4192112875809236,0.0,1.0
BRIER,4.0,0.05,43,0.5581395348837209,0.5767543859649122,0.3150735232644011,2.6434288083690127,24,19,15,28,0.4166666666666667,0.7368421052631579,10,14,5,14,0.5581395348837209,0.4191434769876597,0.0,1.0
ZERO_ONE,0.25,0.2,43,0.5581395348837209,0.5712719298245614,0.2899791316689799,2.5496859841479274,24,19,17,26,0.4583333333333333,0.6842105263157895,11,13,6,13,0.5581395348837209,0.4193149169390659,0.0,1.0
ZERO_ONE,0.25,0.1,43,0.5581395348837209,0.5712719298245614,0.2901092591732545,2.5484581129971176,24,19,17,26,0.4583333333333333,0.6842105263157895,11,13,6,13,0.5581395348837209,0.4213416605635785,0.0,1.0
ZERO_ONE,0.25,0.05,43,0.5581395348837209,0.5712719298245614,0.29038230900764633,2.546670221426933,24,19,17,26,0.4583333333333333,0.6842105263157895,11,13,6,13,0.5581395348837209,0.42214681280823235,0.0,1.0
ZERO_ONE,0.5,0.2,43,0.5581395348837209,0.5712719298245614,0.2921366235748714,2.5568327950127836,24,19,17,26,0.4583333333333333,0.6842105263157895,11,13,6,13,0.5581395348837209,0.42195924912264227,0.0,1.0
ZERO_ONE,0.5,0.1,43,0.5581395348837209,0.5712719298245614,0.29271487591078793,2.557808789173043,24,19,17,26,0.4583333333333333,0.6842105263157895,11,13,6,13,0.5581395348837209,0.42546112792050866,0.0,1.0000000000000002
