origin_date,target_date,origin_close,target_close,target_log_return,actual_up,momentum_20d_log_return,tsm_signal,rs_plus_5d,rs_minus_5d,q80_plus_250d,q80_minus_250d,region,ttsm_s1_signal,ttsm_s2_signal
2022-05-05,2022-05-09,1877.030029,1864.41003,-0.006746090629290115,0,-0.025318340873864406,-1,0.00031012548467522906,0.00024213063578339445,0.00023618592041943487,0.0002420692553203361,1,0,0
2022-05-09,2022-05-10,1864.41003,1836.54004,-0.015061276867485806,0,-0.03888209172544904,-1,0.0002801903487294969,0.00024888268415379863,0.00023618592041943487,0.0002420692553203361,1,0,0
2022-05-10,2022-05-11,1836.54004,1853.050049,0.00894956827111656,1,-0.04893689828854997,-1,0.00026527725441944354,0.00025315152464219293,0.00023618592041943487,0.0002420692553203361,1,0,0
2022-05-11,2022-05-12,1853.050049,1824.94995,-0.015280394651586473,0,-0.03755258456371169,-1,0.0002821426786639373,0.0002691024072484569,0.00023651318880696826,0.0002420692553203361,1,0,0
2022-05-12,2022-05-16,1824.94995,1822.80005,-0.001178754162940692,0,-0.05198020191475666,-1,0.00023217912710637577,0.0003035091190588451,0.00023651318880696826,0.0002420692553203361,2,-1,0
2022-05-16,2022-05-17,1822.80005,1808.57996,-0.007831822968736966,0,-0.057669379437592844,-1,0.00024149495392272957,0.0003033592579582067,0.00023685846238730753,0.0002420692553203361,1,0,0
2022-05-17,2022-05-18,1808.57996,1816.13,0.004165878650856792,1,-0.07995340795989303,-1,0.00023998239682089474,0.00030928086741153577,0.00023702156427902495,0.0002420692553203361,1,0,0
2022-05-18,2022-05-19,1816.13,1841.68005,0.01397036215759147,1,-0.08133076043522502,-1,0.0002510517184248741,0.0002770644795670767,0.00023702156427902495,0.0002420692553203361,1,0,0
2022-05-19,2022-05-23,1841.68005,1855.83997,0.007659181908614014,1,-0.06928748983280923,-1,0.0002522751520040585,0.00025363178107271815,0.00023702156427902495,0.0002420692553203361,1,0,0
2022-05-23,2022-05-24,1855.83997,1862.65002,0.0036628080925541298,1,-0.06411274826405121,-1,0.00023604970648234986,0.00021228119365612392,0.00023685846238730753,0.00023957668998730592,3,-1,-1
2022-05-24,2022-05-25,1862.65002,1850.95996,-0.006295813871914639,0,-0.04281436055157339,-1,0.00020514404108709332,0.0001679324664763651,0.00023651318880696826,0.0002345637288751295,3,-1,-1
2022-05-25,2022-05-26,1850.95996,1854.60999,0.001970024168875384,1,-0.052852931382165964,-1,0.00019281902702137832,0.00014745447324571496,0.00023618592041943487,0.00023303623825132367,3,-1,-1
2022-05-26,2022-05-30,1854.60999,1852.39001,-0.0011977233695104701,0,-0.050416455993079735,-1,0.00018444252924162675,0.00014368113028561118,0.00023604970648234986,0.00023274773751617947,3,-1,-1
2022-05-30,2022-05-31,1852.39001,1836.71997,-0.008495346752072433,0,-0.02659226610690188,-1,0.00013558967380929886,0.00012685843483202776,0.00023596792417209764,0.00023220431603083192,3,-1,-1
2022-05-31,2022-06-01,1836.71997,1844.81995,0.00440032880040945,1,-0.03344609203791926,-1,0.0001277289653146638,0.00013444273314875695,0.00023238443192613188,0.00023096036862507418,3,-1,-1
2022-06-01,2022-06-02,1844.81995,1868.98999,0.013016487999256207,1,-0.018395260203651523,-1,0.00012963083698117452,0.0001345180463024938,0.00023217912710637577,0.00022917564385874312,3,-1,-1
2022-06-02,2022-06-06,1868.98999,1840.31006,-0.015464104359742258,0,-0.018779348628390164,-1,0.00013618616999695288,0.0001258948422104856,0.00023120313738660402,0.00022870496261665445,3,-1,-1
2022-06-06,2022-06-07,1840.31006,1846.79004,0.0035149502296455168,1,-0.012087578985803643,-1,0.00011803182153491548,0.0001228662210348333,0.0002277314799041588,0.0002262008648661348,3,-1,-1
2022-06-07,2022-06-08,1846.79004,1855.19995,0.004543461484169067,1,-0.009683345326782401,-1,0.00013101734475888703,0.00012976822262769066,0.00022663086699778207,0.00022549993778200997,3,-1,-1
2022-06-08,2022-06-09,1855.19995,1844.83997,-0.005599943404675298,0,-0.024582198962507518,-1,0.00012654544473447412,0.0001108333370618092,0.00022532429076657493,0.00022326920209815904,3,-1,-1
2022-06-09,2022-06-13,1844.83997,1825.46997,-0.010555064912582431,0,-0.017298219274866473,-1,0.00011286547717093435,0.00010925270109458009,0.00022369115363874662,0.00022277832815445497,3,-1,-1
2022-06-13,2022-06-14,1825.46997,1815.68005,-0.005377390954468121,0,-0.02110719355815879,-1,0.00011672776521689008,0.00015623036531700173,0.00022300757057528952,0.00022125756972892448,3,-1,-1
2022-06-14,2022-06-15,1815.68005,1832.90002,0.009439342171148554,1,-0.01142330764514117,-1,0.00012894370411931693,0.00017478247201891528,0.00022099908251463877,0.00022125756972892448,3,-1,-1
2022-06-15,2022-06-16,1832.90002,1842.31995,0.0051261969105948395,1,-0.01093353374510918,-1,0.00020064448669370632,0.00022190787056145048,0.00021990628803792675,0.00022190787056145048,3,-1,-1
2022-06-16,2022-06-20,1842.31995,1840.32996,-0.0010807381870798177,0,0.009473057817072032,1,0.00025714418381108663,0.00026399056012856254,0.00022099908251463877,0.00022277832815445497,1,0,0
2022-06-20,2022-06-21,1840.32996,1827.68005,-0.0068974512702639846,0,0.009571073792932906,1,0.0002493825199899652,0.00025441775302919705,0.00022300757057528952,0.00022326920209815904,1,0,0
2022-06-21,2022-06-22,1827.68005,1832.92004,0.0028629150686800145,1,0.010505445491405986,1,0.0002408256297085342,0.00021522895958731584,0.00022369115363874662,0.00022326920209815904,4,1,0
2022-06-22,2022-06-23,1832.92004,1825.26001,-0.0041878973099968245,0,0.009202481909229199,1,0.00024942254693854514,0.00019985915488706873,0.00022532429076657493,0.00022326920209815904,4,1,0
2022-06-23,2022-06-27,1825.26001,1826.01001,0.0004108159661924745,1,-0.008955777558359019,-1,0.00018665032325151844,0.0001655073211582414,0.00022532429076657493,0.00022326920209815904,3,-1,-1
2022-06-27,2022-06-28,1826.01001,1820.77002,-0.0028737645611238965,0,-0.01620414350078045,-1,0.00013392520445167167,0.00013084940149861535,0.00022532429076657493,0.00022326920209815904,3,-1,-1
2022-06-28,2022-06-29,1820.77002,1817.46997,-0.0018140919313126987,0,-0.022740716154458517,-1,0.000137117791237589,0.00013292448552356518,0.00022532429076657493,0.00022326920209815904,3,-1,-1
