origin_date,target_date,actual_return,actual_up,freq_p_up,lag1_return,log_rv,rsk,AR1_LOGIT_p_up,AR1_LOGIT_pred_up,AR1_LOGIT_beta,RV_LOGIT_p_up,RV_LOGIT_pred_up,RV_LOGIT_beta,RSK_LOGIT_p_up,RSK_LOGIT_pred_up,RSK_LOGIT_beta,RM_LOGIT_p_up,RM_LOGIT_pred_up,RM_LOGIT_beta,AR1_RM_LOGIT_p_up,AR1_RM_LOGIT_pred_up,AR1_RM_LOGIT_beta
2023-08-17,2023-08-21,0.0017630053852589927,1,0.5177514792899408,-1.580186120759594e-05,-10.475470102795853,-0.9148965479814938,0.5174606709936989,1,"[0.07109390196911966,0.060587313036409185]",0.4705002448504775,0,"[0.0713367415176178,0.11469999044435683]",0.49633377299144094,0,"[0.07135425870436977,0.12315393161718617]",0.4405798063786805,0,"[0.07207524253880598,0.12981079887414856,0.13808737512996455]",0.4414937973419488,0,"[0.07209345197826214,0.023582804770069025,0.13123938200403754,0.12874532036735056]"
2023-08-21,2023-08-22,0.0029069586755817163,1,0.518463810930576,0.0017630053852589927,-10.665040078565776,-0.8607355015546565,0.5207608871902084,1,"[0.07394939214543535,0.06048997536018202]",0.4644524483563815,0,"[0.0741694148353291,0.1096252682351006]",0.49876566028678737,0,"[0.07420590625888258,0.12096557781014969]",0.4357075921650047,0,"[0.07487246464304387,0.12409209650878834,0.13494561730348661]",0.43743382868325004,0,"[0.07489193393655433,0.024180484814477703,0.1255689856389415,0.1253744417762861]"
2023-08-22,2023-08-23,0.010066631903797665,1,0.5191740412979351,0.0029069586755817163,-10.521620364159887,0.2828472084559437,0.5231593228152156,1,"[0.07679769409833082,0.060881770386224596]",0.4747181058585053,0,"[0.07698834149809539,0.10356154584623489]",0.5270861093372077,1,"[0.07704972602830562,0.11892424335170641]",0.47764371755763985,0,"[0.0776545871331338,0.11736140088073971,0.13183094460167943]",0.4779647090638214,0,"[0.07767634136124431,0.02530936829791246,0.11893385861984064,0.12182577747672975]"
2023-08-23,2023-08-24,-0.0038545795009451342,0,0.5198821796759941,0.010066631903797665,-10.04771803425613,2.636339785515127,0.5345040836399524,1,"[0.07963862680332723,0.061584198966618604]",0.49788411516449455,0,"[0.07980464770893052,0.09834298204731479]",0.5835873042456108,1,"[0.07990034769359924,0.11962267764130843]",0.5656367804718075,1,"[0.080475085449507,0.11220809707326744,0.13201693517907503]",0.5659170986525541,1,"[0.08049721564644892,0.02547445970541523,0.1137964807199223,0.12194327666309565]"
2023-08-24,2023-08-28,0.006251615787444965,1,0.5191176470588236,-0.0038545795009451342,-10.638292175798929,0.023818703841880246,0.5133928665887451,1,"[0.07656701279152411,0.058565773663989]",0.4708501316920113,0,"[0.07674813283474151,0.10097492528444191]",0.5206598782454338,1,"[0.07678702188771773,0.11229161391089801]",0.46623618229761726,0,"[0.07733636678470757,0.11438228557985053,0.1251018223427659]",0.462891385944756,0,"[0.07735772566795275,0.02528282819779644,0.11595870826882704,0.11509217783001897]"
2023-08-28,2023-08-29,0.005882395169632605,1,0.5198237885462555,0.006251615787444965,-10.87464819490147,0.8548447884297172,0.5281887224911428,1,"[0.07939602066846067,0.05740708340200115]",0.4648198952373607,0,"[0.07955389248858451,0.09517360502699848]",0.5400061029040073,1,"[0.07962508123757991,0.11237781729365165]",0.4795741165693833,0,"[0.08013684580317255,0.10848176597776996,0.12450440767257648]",0.4804932534994139,0,"[0.08015463708601923,0.02323943210522088,0.10989476134480147,0.11529849651740708]"
2023-08-29,2023-08-30,0.004337818696979653,1,0.5205278592375366,0.005882395169632605,-10.11064454839627,5.9303175604119795,0.5285930533751584,1,"[0.08222247760575276,0.0590076339402503]",0.49868442090268245,0,"[0.08234633505453698,0.0881656890622903]",0.652456317284256,1,"[0.08246551808280557,0.11435734073503746]",0.6421403561490553,1,"[0.08294279663438818,0.10186941478160626,0.12596478638591257]",0.6343838719745358,1,"[0.08296148765702305,0.023801023781106923,0.10333388630009131,0.11652657978441693]"
2023-08-30,2023-08-31,-0.0031974756767806944,0,0.5212298682284041,0.004337818696979653,-10.78395808932886,1.8348126242436804,0.5272416492429143,1,"[0.08504109359430992,0.060502314371313315]",0.47551828717401773,0,"[0.0851512355585363,0.08523220935762475]",0.5673856199496718,1,"[0.08537896116520921,0.1261541955878986]",0.5181167310823112,1,"[0.08588926124520863,0.10099179674823651,0.1382515946350363]",0.516526836771033,1,"[0.08590141517241716,0.02025815704755002,0.10221983938177517,0.13024862636428447]"
2023-08-31,2023-09-04,-0.0010267817019782742,0,0.52046783625731,-0.0031974756767806944,-10.968001696868848,0.14079460973025076,0.5155828387527408,1,"[0.08198215920463355,0.05922617342282194]",0.4644435387973731,0,"[0.0821203719206603,0.09146413258629117]",0.5246030049402417,1,"[0.08228009828938948,0.12115772641091224]",0.4593973262467656,0,"[0.08281444797177513,0.10734020223140468,0.13442153004381907]",0.45657946539422556,0,"[0.08282834484728199,0.021382888608663,0.10862293414054192,0.12598818987500457]"
2023-09-04,2023-09-05,-0.005430048436464016,0,0.5197080291970803,-0.0010267817019782742,-11.602098618158582,-0.5666583560357387,0.5179025861191597,1,"[0.07893730300280563,0.060185333230800275]",0.4333654131574039,0,"[0.07910275634950296,0.09849490629199743]",0.5070034655715752,1,"[0.0792216656091962,0.12062462139223588]",0.4059232494401665,0,"[0.0798020956316773,0.11443559481006872,0.13477466415725986]",0.40503684081098207,0,"[0.07981824642502562,0.0230730322298825,0.11578528960043659,0.12567652246200378]"
