trade_date,acquisition_status,evidence_status,canonical_n,cache_exact_n,exact_close,lineage_id,retrieved_at,gap_action,impacted_readiness_cells
2025-01-06,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""EMERGENCY_LEVEL:2025-01"",""EMERGENCY_REVERSAL:2025-01"",""FAST:2025-01"",""FAST:2025-02"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""MONTHLY_DIRECTION_3M:2025-05"",""SLOW:2025-01"",""SLOW:2025-02""]"
2025-01-07,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""EMERGENCY_LEVEL:2025-01"",""EMERGENCY_REVERSAL:2025-01"",""FAST:2025-01"",""FAST:2025-02"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""MONTHLY_DIRECTION_3M:2025-05"",""SLOW:2025-01"",""SLOW:2025-02""]"
2025-01-08,AVAILABLE,RESEARCH_CACHE_UNIQUE_EXACT_16_59_CLOSE_ONLY,0,1,2661.71997,,,EXACT_OHLC_REPROBE_REQUIRED_BEFORE_CONTROLLED_WRITE,"[""EMERGENCY_LEVEL:2025-01"",""EMERGENCY_REVERSAL:2025-01"",""FAST:2025-01"",""FAST:2025-02"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""MONTHLY_DIRECTION_3M:2025-05"",""SLOW:2025-01"",""SLOW:2025-02""]"
2025-01-09,AVAILABLE,RESEARCH_CACHE_UNIQUE_EXACT_16_59_CLOSE_ONLY,0,1,2670.38989,,,EXACT_OHLC_REPROBE_REQUIRED_BEFORE_CONTROLLED_WRITE,"[""EMERGENCY_LEVEL:2025-01"",""EMERGENCY_REVERSAL:2025-01"",""FAST:2025-01"",""FAST:2025-02"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""MONTHLY_DIRECTION_3M:2025-05"",""SLOW:2025-01"",""SLOW:2025-02""]"
2025-01-10,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""EMERGENCY_LEVEL:2025-01"",""EMERGENCY_REVERSAL:2025-01"",""FAST:2025-01"",""FAST:2025-02"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""MONTHLY_DIRECTION_3M:2025-05"",""SLOW:2025-01"",""SLOW:2025-02""]"
2025-01-11,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""EMERGENCY_LEVEL:2025-01"",""EMERGENCY_REVERSAL:2025-01"",""FAST:2025-01"",""FAST:2025-02"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""MONTHLY_DIRECTION_3M:2025-05"",""SLOW:2025-01"",""SLOW:2025-02""]"
2025-01-12,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""EMERGENCY_LEVEL:2025-01"",""EMERGENCY_REVERSAL:2025-01"",""FAST:2025-01"",""FAST:2025-02"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""MONTHLY_DIRECTION_3M:2025-05"",""SLOW:2025-01"",""SLOW:2025-02""]"
2025-01-13,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""EMERGENCY_LEVEL:2025-01"",""EMERGENCY_REVERSAL:2025-01"",""FAST:2025-01"",""FAST:2025-02"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""MONTHLY_DIRECTION_3M:2025-05"",""SLOW:2025-01"",""SLOW:2025-02""]"
2025-01-14,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""EMERGENCY_LEVEL:2025-01"",""EMERGENCY_REVERSAL:2025-01"",""FAST:2025-01"",""FAST:2025-02"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""MONTHLY_DIRECTION_3M:2025-05"",""SLOW:2025-01"",""SLOW:2025-02""]"
2025-01-15,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""EMERGENCY_LEVEL:2025-01"",""EMERGENCY_REVERSAL:2025-01"",""FAST:2025-01"",""FAST:2025-02"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""MONTHLY_DIRECTION_3M:2025-05"",""SLOW:2025-01"",""SLOW:2025-02""]"
2025-01-16,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""EMERGENCY_LEVEL:2025-01"",""EMERGENCY_REVERSAL:2025-01"",""FAST:2025-01"",""FAST:2025-02"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""MONTHLY_DIRECTION_3M:2025-05"",""SLOW:2025-01"",""SLOW:2025-02""]"
2025-01-17,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""EMERGENCY_LEVEL:2025-01"",""EMERGENCY_REVERSAL:2025-01"",""FAST:2025-01"",""FAST:2025-02"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""MONTHLY_DIRECTION_3M:2025-05"",""SLOW:2025-01"",""SLOW:2025-02""]"
2025-01-18,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""EMERGENCY_LEVEL:2025-01"",""EMERGENCY_REVERSAL:2025-01"",""FAST:2025-01"",""FAST:2025-02"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""MONTHLY_DIRECTION_3M:2025-05"",""SLOW:2025-01"",""SLOW:2025-02""]"
2025-01-19,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""EMERGENCY_LEVEL:2025-01"",""EMERGENCY_REVERSAL:2025-01"",""FAST:2025-01"",""FAST:2025-02"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""MONTHLY_DIRECTION_3M:2025-05"",""SLOW:2025-01"",""SLOW:2025-02""]"
2025-01-20,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""EMERGENCY_LEVEL:2025-01"",""EMERGENCY_REVERSAL:2025-01"",""FAST:2025-01"",""FAST:2025-02"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""MONTHLY_DIRECTION_3M:2025-05"",""SLOW:2025-01"",""SLOW:2025-02""]"
